State Name,county Name,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
California,San Diego,6/7/2015,90,Moderate,Ozone,06-073-1006,13
California,San Diego,6/8/2015,87,Moderate,Ozone,06-073-1201,13
California,San Diego,6/9/2015,62,Moderate,PM2.5,06-073-1014,13
California,San Diego,6/10/2015,56,Moderate,PM2.5,06-073-1006,13
California,San Diego,6/11/2015,44,Good,Ozone,06-073-1006,14
California,San Diego,6/12/2015,53,Moderate,PM2.5,06-073-1006,13
California,San Diego,6/13/2015,45,Good,Ozone,06-073-1006,13
California,San Diego,6/14/2015,51,Moderate,Ozone,06-073-1006,13
California,San Diego,6/15/2015,55,Moderate,PM2.5,06-073-1014,13
California,San Diego,6/16/2015,126,Unhealthy for Sensitive Groups,Ozone,06-073-1006,13
California,San Diego,6/17/2015,122,Unhealthy for Sensitive Groups,Ozone,06-073-1006,15
California,San Diego,6/18/2015,140,Unhealthy for Sensitive Groups,Ozone,06-073-1006,13
California,San Diego,6/19/2015,147,Unhealthy for Sensitive Groups,Ozone,06-073-1006,12
California,San Diego,6/20/2015,129,Unhealthy for Sensitive Groups,Ozone,06-073-1006,12
California,San Diego,6/21/2015,90,Moderate,Ozone,06-073-1006,12
California,San Diego,6/22/2015,101,Unhealthy for Sensitive Groups,Ozone,06-073-1006,12
California,San Diego,6/23/2015,108,Unhealthy for Sensitive Groups,Ozone,06-073-1006,12
California,San Diego,6/24/2015,74,Moderate,Ozone,06-073-1006,12
California,San Diego,6/25/2015,100,Moderate,Ozone,06-073-1006,13
California,San Diego,6/26/2015,90,Moderate,Ozone,06-073-1006,13
California,San Diego,6/27/2015,56,Moderate,PM2.5,06-073-1014,13
California,San Diego,6/28/2015,54,Moderate,Ozone,06-073-1008,13
California,San Diego,6/29/2015,55,Moderate,PM2.5,06-073-1014,15
California,San Diego,6/30/2015,74,Moderate,Ozone,06-073-1006,13
California,San Diego,7/1/2015,67,Moderate,PM2.5,06-073-1014,13
California,San Diego,7/2/2015,67,Moderate,Ozone,06-073-1006,13
California,San Diego,7/3/2015,52,Moderate,PM2.5,06-073-1014,13
California,San Diego,7/4/2015,45,Good,PM2.5,06-073-1014,13
California,San Diego,7/5/2015,38,Good,Ozone,06-073-1006,15
California,San Diego,7/6/2015,40,Good,Ozone,06-073-1006,13
California,San Diego,7/7/2015,49,Good,Ozone,06-073-1006,13
California,San Diego,7/8/2015,54,Moderate,PM2.5,06-073-1014,13
California,San Diego,7/9/2015,40,Good,PM2.5,06-073-1010,13
California,San Diego,7/10/2015,36,Good,PM2.5,06-073-1019,13
California,San Diego,7/11/2015,39,Good,Ozone,06-073-1006,15
California,San Diego,7/12/2015,47,Good,Ozone,06-073-1006,13
California,San Diego,7/13/2015,54,Moderate,Ozone,06-073-1006,12
California,San Diego,7/14/2015,54,Moderate,PM2.5,06-073-1014,13
California,San Diego,7/15/2015,71,Moderate,Ozone,06-073-1006,13
California,San Diego,7/16/2015,77,Moderate,Ozone,06-073-1006,11
California,San Diego,7/17/2015,87,Moderate,Ozone,06-073-1006,14
California,San Diego,7/18/2015,54,Moderate,PM2.5,06-073-1014,10
California,San Diego,7/19/2015,52,Moderate,PM2.5,06-073-1014,10
California,San Diego,7/20/2015,37,Good,Ozone,06-073-1011,12
California,San Diego,7/21/2015,38,Good,Ozone,06-073-1011,12
California,San Diego,7/22/2015,40,Good,Ozone,06-073-1011,13
California,San Diego,7/23/2015,39,Good,Ozone,06-073-1011,15
California,San Diego,7/24/2015,51,Moderate,PM2.5,06-073-1014,13
California,San Diego,7/25/2015,54,Moderate,PM2.5,06-073-1019,13
California,San Diego,7/26/2015,55,Moderate,PM2.5,06-073-1014,13
California,San Diego,7/27/2015,52,Moderate,PM2.5,06-073-1014,13
California,San Diego,7/28/2015,71,Moderate,Ozone,06-073-1006,14
California,San Diego,7/29/2015,93,Moderate,Ozone,06-073-1006,14
California,San Diego,7/30/2015,87,Moderate,Ozone,06-073-1006,13
California,San Diego,7/31/2015,64,Moderate,Ozone,06-073-1006,13
California,San Diego,8/1/2015,56,Moderate,PM2.5,06-073-1014,13
California,San Diego,8/2/2015,59,Moderate,PM2.5,06-073-1008,13
California,San Diego,8/3/2015,67,Moderate,Ozone,06-073-1006,13
California,San Diego,8/4/2015,80,Moderate,Ozone,06-073-1006,15
California,San Diego,8/5/2015,59,Moderate,PM2.5,06-073-1014,13
California,San Diego,8/6/2015,64,Moderate,Ozone,06-073-1006,13
California,San Diego,8/7/2015,71,Moderate,Ozone,06-073-1006,13
California,San Diego,8/8/2015,56,Moderate,PM2.5,06-073-1008,13
California,San Diego,8/9/2015,56,Moderate,PM2.5,06-073-1014,13
California,San Diego,8/10/2015,55,Moderate,PM2.5,06-073-1008,15
California,San Diego,8/11/2015,58,Moderate,Ozone,06-073-1006,13
California,San Diego,8/12/2015,115,Unhealthy for Sensitive Groups,Ozone,06-073-1006,13
California,San Diego,8/13/2015,129,Unhealthy for Sensitive Groups,Ozone,06-073-1006,13
California,San Diego,8/14/2015,115,Unhealthy for Sensitive Groups,Ozone,06-073-1006,12
California,San Diego,8/15/2015,71,Moderate,Ozone,06-073-1006,13
California,San Diego,8/16/2015,90,Moderate,Ozone,06-073-1018,15
California,San Diego,8/17/2015,70,Moderate,PM2.5,06-073-1008,13
California,San Diego,8/18/2015,67,Moderate,PM2.5,06-073-1014,13
California,San Diego,8/19/2015,77,Moderate,Ozone,06-073-1006,13
California,San Diego,8/20/2015,105,Unhealthy for Sensitive Groups,Ozone,06-073-1011,13
California,San Diego,8/21/2015,84,Moderate,Ozone,06-073-1006,13
California,San Diego,8/22/2015,101,Unhealthy for Sensitive Groups,Ozone,06-073-1006,15
California,San Diego,8/23/2015,80,Moderate,Ozone,06-073-1006,13
California,San Diego,8/24/2015,115,Unhealthy for Sensitive Groups,Ozone,06-073-1006,13
California,San Diego,8/25/2015,75,Moderate,PM2.5,06-073-1014,13
California,San Diego,8/26/2015,90,Moderate,Ozone,06-073-1006,13
California,San Diego,8/27/2015,74,Moderate,Ozone,06-073-1006,13
California,San Diego,8/28/2015,119,Unhealthy for Sensitive Groups,Ozone,06-073-1006,15
California,San Diego,8/29/2015,64,Moderate,PM2.5,06-073-1014,12
California,San Diego,8/30/2015,53,Moderate,PM2.5,06-073-1008,12
California,San Diego,8/31/2015,60,Moderate,PM2.5,06-073-1014,12
California,San Diego,9/1/2015,62,Moderate,PM2.5,06-073-1014,12
California,San Diego,9/2/2015,74,Moderate,Ozone,06-073-1006,12
California,San Diego,9/3/2015,52,Moderate,PM2.5,06-073-1008,14
California,San Diego,9/4/2015,58,Moderate,Ozone,06-073-1006,12
California,San Diego,9/5/2015,64,Moderate,Ozone,06-073-1006,12
California,San Diego,9/6/2015,62,Moderate,PM2.5,06-073-1019,12
California,San Diego,9/7/2015,63,Moderate,PM2.5,06-073-1008,12
California,San Diego,9/8/2015,72,Moderate,PM2.5,06-073-1014,12
California,San Diego,9/9/2015,80,Moderate,Ozone,06-073-1006,13
California,San Diego,9/10/2015,65,Moderate,PM2.5,06-073-1014,12
California,San Diego,9/11/2015,70,Moderate,PM2.5,06-073-1014,11
California,San Diego,9/12/2015,59,Moderate,PM2.5,06-073-1014,12
California,San Diego,9/13/2015,58,Moderate,Ozone,06-073-1006,12
California,San Diego,9/14/2015,51,Moderate,PM2.5,06-073-1014,12
California,San Diego,9/15/2015,26,Good,Ozone,06-073-1008,14
California,San Diego,9/16/2015,40,Good,Ozone,06-073-1006,12
California,San Diego,9/17/2015,47,Good,Ozone,06-073-1006,11
California,San Diego,9/18/2015,108,Unhealthy for Sensitive Groups,Ozone,06-073-1006,11
California,San Diego,9/19/2015,101,Unhealthy for Sensitive Groups,Ozone,06-073-1006,12
California,San Diego,9/20/2015,119,Unhealthy for Sensitive Groups,Ozone,06-073-1008,11
California,San Diego,9/21/2015,66,Moderate,PM2.5,06-073-1014,14
California,San Diego,9/22/2015,67,Moderate,Ozone,06-073-1006,11
California,San Diego,9/23/2015,90,Moderate,Ozone,06-073-1006,12
California,San Diego,9/24/2015,115,Unhealthy for Sensitive Groups,Ozone,06-073-1006,12
California,San Diego,9/25/2015,126,Unhealthy for Sensitive Groups,Ozone,06-073-1006,12
California,San Diego,9/26/2015,122,Unhealthy for Sensitive Groups,Ozone,06-073-1006,12
California,San Diego,9/27/2015,100,Moderate,Ozone,06-073-1006,14
California,San Diego,9/28/2015,68,Moderate,PM2.5,06-073-1014,12
